Book No.,Ship class,Ship class index,Ship type,Ship name,Variation num,Remodel level,Implemented at,Memo
1,長門型,1,戦艦,長門,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
2,長門型,2,戦艦,陸奥,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
3,伊勢型,1,戦艦,伊勢,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
4,伊勢型,2,戦艦,日向,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
5,陽炎型,8,駆逐艦,雪風,6,,2016-05-26T07:00:00+09:00,2016-05-26：5隻追加（雪風、睦月、如月、古鷹、加古）
6,赤城型,1,正規空母,赤城,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
7,加賀型,1,正規空母,加賀,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
8,蒼龍型,1,正規空母,蒼龍,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
9,飛龍型,1,正規空母,飛龍,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
10,島風型,1,駆逐艦,島風,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
11,吹雪型,1,駆逐艦,吹雪,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
12,吹雪型,2,駆逐艦,白雪,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
13,吹雪型,3,駆逐艦,初雪,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
14,吹雪型,4,駆逐艦,深雪,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
15,吹雪型,5,駆逐艦,叢雲,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
16,吹雪型,9,駆逐艦,磯波,6,,2016-04-28T07:00:00+09:00,2016-04-28：9隻追加（長門、陸奥、白雪、初雪、深雪、磯波、涼風、霰、霞）
17,綾波型,1,駆逐艦,綾波,6,,2016-06-30T07:00:00+09:00,2016-06-30：5隻追加（綾波、敷波、那智、足柄、羽黒）
18,綾波型,2,駆逐艦,敷波,6,,2016-06-30T07:00:00+09:00,2016-06-30：5隻追加（綾波、敷波、那智、足柄、羽黒）
19,球磨型,4,軽巡洋艦,大井,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
20,球磨型,3,軽巡洋艦,北上,3,,2016-04-26T07:00:00+09:00,リリースと同時に実装
21,金剛型,1,戦艦,金剛,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
22,金剛型,2,戦艦,比叡,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
23,金剛型,3,戦艦,榛名,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
24,金剛型,4,戦艦,霧島,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
25,鳳翔型,1,軽空母,鳳翔,6,,2016-04-26T07:00:00+09:00,リリースと同時に実装
