Book No.,Ship class,Ship class index,Ship type,Ship name,Variation num,Remodel level,Implemented at,Memo
94,祥鳳型,1,軽空母,祥鳳,6,,2017-02-07T07:00:00+09:00,2017-02-07：翔鶴、瑞鶴、瑞鳳、祥鳳の「改」追加
106,翔鶴型,1,正規空母,翔鶴,6,,2017-02-07T07:00:00+09:00,2017-02-07：翔鶴、瑞鶴、瑞鳳、祥鳳の「改」追加
137,阿賀野型,1,軽巡洋艦,阿賀野,6,,2017-08-17T07:00:00+09:00,2017-08-17：4隻追加（春雨、時雨改二、阿賀野改、能代改）
138,阿賀野型,2,軽巡洋艦,能代,6,,2017-08-17T07:00:00+09:00,2017-08-17：4隻追加（春雨、時雨改二、阿賀野改、能代改）
139,阿賀野型,3,軽巡洋艦,矢矧,6,,2017-09-21T07:00:00+09:00,2017-09-21：4隻追加（香取、千歳航改二、千代田航改二、矢矧改）
140,阿賀野型,4,軽巡洋艦,酒匂,6,,2017-10-26T07:00:00+09:00,2017-10-26：3隻追加（鹿島、Верный、酒匂改）
181,陽炎型,9,駆逐艦,天津風,6,,2018-06-07T07:00:00+09:00,2018-06-07：5隻追加（衣笠改二、五十鈴改二、谷風、天津風改、Prinz Eugen改）
128,巡潜3型,2,潜水艦,伊8,6,,2018-11-06T07:00:00+09:00,2018-11-06：3隻追加（朝雲、山雲、伊8改）
186,陽炎型,10,駆逐艦,時津風,6,,2018-12-11T07:00:00+09:00,2018-12-11：3隻追加（海風、綾波改二、時津風改）
167,陽炎型,12,駆逐艦,磯風,6,,2019-01-15T07:00:00+09:00,2019-01-15：3隻追加（江風、磯風改、照月改）
222,秋月型,2,駆逐艦,照月,6,,2019-01-15T07:00:00+09:00,2019-01-15：3隻追加（江風、磯風改、照月改）
168,陽炎型,11,駆逐艦,浦風,6,,2019-06-13T07:00:00+09:00,2019-06-13：4隻追加（睦月改二、如月改二、浦風改、浜風改）
170,陽炎型,13,駆逐艦,浜風,6,,2019-06-13T07:00:00+09:00,2019-06-13：4隻追加（睦月改二、如月改二、浦風改、浜風改）
